id,length,aliphatic_index,ivywrel_fraction,gravy,charged_fraction,log_acidic_basic_ratio,aromatic_fraction
s1000_n310,310,105.74193548387096,0.596774193548387,-0.23741935483870946,0.33225806451612905,0.14187715852457963,0.06774193548387097
s1001_n376,376,98.5372340425532,0.46276595744680843,-0.5087765957446809,0.3351063829787234,0.0,0.09308510638297872
s1002_n442,442,108.80090497737555,0.3891402714932127,-0.6565610859728507,0.09728506787330318,-0.0579919469776867,0.058823529411764705
s1003_n480,480,51.625,0.41875,-1.0745833333333332,0.28750000000000003,1.6595993124367443,0.035416666666666666
s1004_n540,540,99.25925925925925,0.6185185185185186,-0.7312962962962964,0.44074074074074077,0.09446786328187616,0.0
s1005_n573,573,97.69633507853402,0.23036649214659685,0.3626527050610819,0.0,0.0,0.029668411867364748
s1006_n610,610,59.983606557377044,0.3114754098360656,-0.6162295081967213,0.17049180327868851,1.5357159699855099,0.03934426229508197
s1007_n660,660,116.87878787878788,0.5696969696969698,-0.6022727272727271,0.39242424242424245,0.1239682457420924,0.08939393939393939
s1008_n725,725,97.91724137931035,0.31172413793103443,-0.3467586206896554,0.060689655172413794,-0.0377885608893998,0.06482758620689655
s1009_n776,776,88.55670103092783,0.5141752577319587,-0.5087628865979382,0.3324742268041237,0.8846065812979305,0.04639175257731959
s1010_n314,314,115.50955414012738,0.6210191082802548,-0.46592356687898095,0.40445859872611467,0.3473300153169504,0.1305732484076433
s1011_n359,359,66.54596100278552,0.37325905292479106,-0.8245125348189418,0.42618384401114207,0.19957235490520403,0.08635097493036212
s1012_n424,424,51.53301886792452,0.375,-0.9945754716981131,0.3938679245283019,0.8973376581028523,0.11320754716981132
s1013_n464,464,107.60775862068964,0.42241379310344823,-0.6995689655172415,0.21120689655172414,-0.10473535052001294,0.1206896551724138
s1014_n513,513,97.38791423001949,0.608187134502924,-0.527485380116959,0.4249512670565302,0.6145048107822201,0.01364522417153996
s1015_n587,587,105.33219761499146,0.6609880749574106,-0.5972742759795571,0.4582623509369676,0.7744233778644005,0.018739352640545145
s1016_n609,609,124.53201970443351,0.4827586206896552,-0.379967159277504,0.2627257799671593,0.032184683371401235,0.09523809523809523
s1017_n677,677,105.56868537666173,0.42688330871491875,-0.6078286558345641,0.24224519940915806,0.06289928147243093,0.08419497784342689
s1018_n700,700,102.97142857142858,0.30857142857142855,-0.48085714285714276,0.08714285714285715,0.12493873660829992,0.02
s1019_n793,793,104.59016393442622,0.4918032786885246,-0.40970996216897854,0.3165195460277428,0.5664593165867381,0.05548549810844893
s1020_n344,344,100.37790697674419,0.47965116279069764,-0.5302325581395347,0.311046511627907,0.202825512302926,0.06686046511627908
s1021_n390,390,70.15384615384616,0.2948717948717948,-0.3812820512820513,0.14615384615384613,0.42934847292366185,0.038461538461538464
s1022_n434,434,99.83870967741935,0.315668202764977,-1.079493087557604,0.020737327188940093,0.24303804868629444,0.062211981566820285
s1023_n462,462,119.65367965367963,0.5303030303030303,-0.36233766233766207,0.3463203463203463,0.053684858962776354,0.11255411255411256
s1024_n539,539,64.54545454545455,0.2671614100185529,-1.0098330241187383,0.10204081632653061,-0.045757490560675115,0.059369202226345084
s1025_n559,559,106.88729874776384,0.45438282647584977,-0.5355992844364937,0.20572450805008946,0.4057653461839943,0.06797853309481217
s1026_n631,631,76.71949286846275,0.4405705229793978,-0.5616481774960378,0.35974643423137875,0.07987667370927597,0.1045958795562599
s1027_n699,699,77.15307582260372,0.5579399141630902,-0.9646638054363379,0.4034334763948498,1.0153597554092142,0.034334763948497854
s1028_n707,707,110.65063649222064,0.6294200848656294,-0.4736916548797737,0.39321074964639324,0.39036805753105697,0.0297029702970297
s1029_n783,783,62.0051085568327,0.26053639846743293,-0.821455938697318,0.3243933588761175,0.23638716094293222,0.07535121328224777
s1030_n305,305,82.81967213114753,0.34098360655737703,-0.7934426229508195,0.2360655737704918,0.0705810742857072,0.0819672131147541
s1031_n364,364,108.84615384615384,0.5576923076923077,-0.29313186813186803,0.30494505494505497,0.14744607760615122,0.038461538461538464
s1032_n421,421,96.6270783847981,0.5843230403800476,-0.6672209026128265,0.3681710213776722,0.3825651471050834,0.03562945368171021
s1033_n460,460,60.0,0.1391304347826087,0.28152173913043466,0.02826086956521739,-0.05799194697768681,0.10217391304347827
s1034_n545,545,108.91743119266056,0.46238532110091746,-0.5893577981651377,0.28807339449541286,0.060187205983316554,0.06788990825688074
